DATA,D1,D2,D3,D4,D5,D6
24/08/2023,5,31,37,47,52,58
22/08/2023,10,15,20,35,37,59
19/08/2023,9,19,22,24,50,60
16/08/2023,6,9,14,16,42,47
12/08/2023,4,6,13,21,26,28
09/08/2023,5,36,39,41,44,50
05/08/2023,6,17,29,35,45,48
02/08/2023,3,14,36,42,43,44
29/07/2023,6,16,23,35,38,49
27/07/2023,5,7,22,23,41,59
25/07/2023,3,8,13,14,19,25
22/07/2023,14,26,40,42,46,52
19/07/2023,20,27,34,44,50,54
15/07/2023,4,12,18,21,25,49
12/07/2023,10,23,34,53,55,57
08/07/2023,3,21,27,32,35,60
05/07/2023,7,13,17,24,29,52
01/07/2023,7,11,25,51,57,60
29/06/2023,2,10,16,32,45,49
27/06/2023,5,11,26,35,46,54
24/06/2023,16,17,19,22,46,57
21/06/2023,3,7,13,29,52,56
17/06/2023,11,14,16,30,32,46
14/06/2023,3,8,34,40,44,55
10/06/2023,4,18,37,38,46,60
07/06/2023,23,28,34,43,47,60
03/06/2023,7,14,24,53,58,60
31/05/2023,14,26,34,54,56,58
27/05/2023,34,35,39,47,51,56
24/05/2023,1,13,34,39,50,52
20/05/2023,7,26,32,35,49,55
17/05/2023,10,14,17,25,32,39
13/05/2023,15,17,28,34,35,51
11/05/2023,10,11,21,23,28,30
09/05/2023,2,12,28,36,43,48
06/05/2023,1,15,16,25,32,36
03/05/2023,9,13,22,31,57,58
29/04/2023,5,10,11,22,23,37
26/04/2023,10,18,41,49,53,59
22/04/2023,14,26,34,36,43,59
19/04/2023,1,5,12,36,53,55
15/04/2023,2,20,27,30,52,59
12/04/2023,10,14,17,19,21,34
08/04/2023,14,17,32,36,39,60
05/04/2023,3,4,13,29,36,43
01/04/2023,5,10,26,35,38,44
29/03/2023,37,39,47,50,59,60
25/03/2023,12,18,22,31,44,50
22/03/2023,29,32,33,35,38,43
18/03/2023,4,12,14,41,46,53
16/03/2023,12,17,43,44,48,60
14/03/2023,6,26,32,35,37,49
11/03/2023,3,7,15,22,24,50
08/03/2023,9,18,33,38,41,51
04/03/2023,8,18,26,27,47,50
01/03/2023,6,7,25,28,31,52
25/02/2023,16,22,29,35,38,49
23/02/2023,10,11,19,33,58,60
18/02/2023,11,23,45,53,57,59
16/02/2023,9,13,25,39,46,54
14/02/2023,7,8,14,19,32,45
11/02/2023,5,9,14,30,38,50
08/02/2023,6,12,32,44,51,57
04/02/2023,19,22,37,44,51,56
01/02/2023,4,5,17,20,48,52
28/01/2023,9,12,20,30,32,35
25/01/2023,2,10,18,25,34,44
21/01/2023,3,13,16,25,27,33
18/01/2023,2,6,10,14,34,56
14/01/2023,3,20,45,52,53,58
12/01/2023,19,25,43,44,48,49
10/01/2023,13,15,53,54,55,58
07/01/2023,5,24,25,33,38,41
04/01/2023,1,25,29,43,46,48
31/12/2022,4,5,10,34,58,59
17/12/2022,1,6,10,30,33,35
14/12/2022,9,15,23,25,29,30
10/12/2022,10,25,31,37,38,57
07/12/2022,3,23,28,34,38,48
03/12/2022,20,23,32,36,39,57
30/11/2022,25,38,45,53,55,56
26/11/2022,2,5,27,30,46,53
24/11/2022,12,20,22,25,26,55
22/11/2022,10,28,45,47,57,59
19/11/2022,2,8,28,34,41,49
16/11/2022,1,23,32,33,36,59
12/11/2022,6,15,19,20,33,52
09/11/2022,12,24,26,31,37,48
05/11/2022,9,22,27,30,33,45
03/11/2022,1,3,24,37,51,56
29/10/2022,28,36,39,44,56,60
26/10/2022,17,18,20,37,45,53
22/10/2022,10,14,17,18,23,30
20/10/2022,1,5,18,49,55,56
18/10/2022,14,17,18,28,30,44
15/10/2022,3,5,32,56,57,59
13/10/2022,4,15,22,53,56,60
08/10/2022,8,19,29,38,48,56
05/10/2022,2,16,24,38,43,59
01/10/2022,4,13,21,26,47,51
28/09/2022,3,20,22,37,41,43
24/09/2022,1,10,27,36,37,45
21/09/2022,4,5,25,32,39,40
17/09/2022,23,28,33,38,55,59
15/09/2022,2,17,22,41,58,60
13/09/2022,3,8,20,36,38,57
10/09/2022,3,22,23,44,53,60
08/09/2022,1,5,6,16,22,39
03/09/2022,8,17,49,51,52,53
31/08/2022,3,12,19,41,45,54
27/08/2022,5,15,24,34,45,52
24/08/2022,13,19,21,35,46,50
20/08/2022,7,10,34,47,49,52
17/08/2022,4,10,15,39,41,49
13/08/2022,8,13,25,32,44,57
10/08/2022,8,37,39,50,59,60
06/08/2022,41,45,48,51,53,58
04/08/2022,4,6,12,34,35,53
02/08/2022,21,22,29,34,40,44
30/07/2022,3,5,19,26,43,51
27/07/2022,14,33,41,42,44,55
23/07/2022,3,14,16,38,43,45
20/07/2022,16,20,21,39,44,55
16/07/2022,11,27,32,40,58,59
13/07/2022,5,16,25,32,39,55
09/07/2022,11,19,38,47,56,59
06/07/2022,9,12,26,29,46,47
02/07/2022,5,14,23,46,48,52
30/06/2022,7,26,31,38,46,58
28/06/2022,8,12,14,30,33,41
25/06/2022,1,4,10,22,53,54
22/06/2022,4,9,37,43,44,56
18/06/2022,10,30,31,33,42,52
15/06/2022,22,29,38,43,48,53
11/06/2022,11,16,17,41,46,59
08/06/2022,3,10,13,25,41,42
04/06/2022,17,31,34,40,56,57
02/06/2022,23,36,42,48,54,58
31/05/2022,8,9,17,19,33,56
28/05/2022,5,12,32,38,47,60
25/05/2022,11,14,36,41,54,59
21/05/2022,20,34,38,40,49,54
18/05/2022,1,32,35,44,45,57
14/05/2022,1,8,21,27,36,37
11/05/2022,4,6,9,31,50,56
07/05/2022,10,15,17,20,21,35
04/05/2022,2,17,23,28,39,46
30/04/2022,20,33,37,38,49,50
28/04/2022,2,7,32,46,49,55
26/04/2022,1,40,44,45,58,60
23/04/2022,22,30,38,39,49,56
20/04/2022,15,18,28,42,55,60
16/04/2022,5,13,18,23,35,36
13/04/2022,8,23,29,30,36,55
09/04/2022,8,33,40,42,48,51
06/04/2022,5,28,30,38,52,55
02/04/2022,22,35,41,42,53,57
30/03/2022,1,10,19,34,35,45
26/03/2022,2,3,13,20,53,54
23/03/2022,3,8,23,29,53,54
19/03/2022,2,7,24,43,52,56
16/03/2022,11,16,31,37,42,51
12/03/2022,3,16,23,41,45,57
09/03/2022,8,11,16,21,32,37
05/03/2022,16,17,18,28,35,47
03/03/2022,15,24,33,49,53,59
26/02/2022,15,40,44,45,47,51
24/02/2022,10,19,46,47,49,50
22/02/2022,28,34,40,41,52,55
19/02/2022,21,38,50,53,56,59
16/02/2022,9,14,22,24,44,47
12/02/2022,10,14,15,24,34,44
09/02/2022,8,10,51,56,57,58
05/02/2022,13,26,31,46,51,60
